team1,team2,venue,toss_winner,toss_decision,winner,date
Ireland,New Zealand,Trent Bridge,Ireland,field,New Zealand,2009-06-11
England,South Africa,Trent Bridge,England,bat,South Africa,2009-06-11
Pakistan,Sri Lanka,Lord's,Sri Lanka,bat,Sri Lanka,2009-06-12
India,West Indies,Lord's,India,bat,West Indies,2009-06-12
New Zealand,Pakistan,Kennington Oval,New Zealand,bat,Pakistan,2009-06-13
South Africa,West Indies,Kennington Oval,West Indies,field,South Africa,2009-06-13
Ireland,Sri Lanka,Lord's,Sri Lanka,bat,Sri Lanka,2009-06-14
England,India,Lord's,India,field,England,2009-06-14
England,West Indies,Kennington Oval,England,bat,West Indies,2009-06-15
Ireland,Pakistan,Kennington Oval,Pakistan,bat,Pakistan,2009-06-15
India,South Africa,Trent Bridge,South Africa,bat,South Africa,2009-06-16
New Zealand,Sri Lanka,Trent Bridge,Sri Lanka,bat,Sri Lanka,2009-06-16
Pakistan,South Africa,Trent Bridge,Pakistan,bat,Pakistan,2009-06-18
India,New Zealand,Trent Bridge,New Zealand,bat,New Zealand,2009-06-18
Sri Lanka,West Indies,Kennington Oval,West Indies,field,Sri Lanka,2009-06-19
England,Australia,Kennington Oval,England,field,England,2009-06-19
Pakistan,Sri Lanka,Lord's,Sri Lanka,bat,Pakistan,2009-06-21
England,Australia,County Ground,Australia,bat,Australia,2009-06-25
West Indies,Bangladesh,"Warner Park, Basseterre",Bangladesh,bat,West Indies,2009-08-02
Sri Lanka,Pakistan,R Premadasa Stadium,Pakistan,bat,Pakistan,2009-08-12
Sri Lanka,New Zealand,R Premadasa Stadium,New Zealand,bat,New Zealand,2009-09-02
Sri Lanka,New Zealand,R Premadasa Stadium,New Zealand,bat,New Zealand,2009-09-04
South Africa,West Indies,Boland Bank Park,South Africa,field,West Indies,2009-10-28
New Zealand,Pakistan,Dubai International Cricket Stadium,New Zealand,field,Pakistan,2009-11-12
New Zealand,Pakistan,Dubai International Cricket Stadium,Pakistan,bat,Pakistan,2009-11-13
South Africa,England,New Wanderers Stadium,South Africa,field,England,2009-11-13
South Africa,England,SuperSport Park,South Africa,bat,South Africa,2009-11-15
India,Sri Lanka,"Vidarbha Cricket Association Stadium, Jamtha",India,field,Sri Lanka,2009-12-09
India,Sri Lanka,"Punjab Cricket Association Stadium, Mohali",Sri Lanka,bat,India,2009-12-12
New Zealand,Bangladesh,Seddon Park,Bangladesh,bat,New Zealand,2010-02-03
Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,Australia,2010-02-05
Canada,Netherlands,Dubai International Cricket Stadium,Canada,bat,Netherlands,2010-02-09
Canada,Kenya,Dubai International Cricket Stadium,Kenya,field,Kenya,2010-02-10
Ireland,Scotland,Dubai International Cricket Stadium,Ireland,bat,Ireland,2010-02-11
Ireland,Netherlands,Dubai International Cricket Stadium,Ireland,bat,Ireland,2010-02-13
England,Pakistan,Dubai International Cricket Stadium,Pakistan,bat,England,2010-02-19
England,Pakistan,Dubai International Cricket Stadium,Pakistan,field,Pakistan,2010-02-20
Australia,West Indies,Bellerive Oval,Australia,bat,Australia,2010-02-21
Australia,West Indies,Sydney Cricket Ground,West Indies,bat,Australia,2010-02-23
New Zealand,Australia,Westpac Stadium,New Zealand,bat,Australia,2010-02-26
West Indies,Zimbabwe,"Queen's Park Oval, Port of Spain",Zimbabwe,bat,Zimbabwe,2010-02-28
West Indies,Ireland,Providence Stadium,West Indies,bat,West Indies,2010-04-30
New Zealand,Sri Lanka,Providence Stadium,Sri Lanka,bat,New Zealand,2010-04-30
Bangladesh,Pakistan,"Beausejour Stadium, Gros Islet",Pakistan,bat,Pakistan,2010-05-01
India,South Africa,"Beausejour Stadium, Gros Islet",South Africa,field,India,2010-05-02
Australia,Pakistan,"Beausejour Stadium, Gros Islet",Australia,bat,Australia,2010-05-02
West Indies,England,Providence Stadium,West Indies,field,West Indies,2010-05-03
Sri Lanka,Zimbabwe,Providence Stadium,Sri Lanka,bat,Sri Lanka,2010-05-03
New Zealand,Zimbabwe,Providence Stadium,New Zealand,field,New Zealand,2010-05-04
Australia,Bangladesh,"Kensington Oval, Bridgetown",Australia,bat,Australia,2010-05-05
England,Pakistan,"Kensington Oval, Bridgetown",England,field,England,2010-05-06
New Zealand,South Africa,"Kensington Oval, Bridgetown",South Africa,bat,South Africa,2010-05-06
West Indies,Sri Lanka,"Kensington Oval, Bridgetown",Sri Lanka,bat,Sri Lanka,2010-05-07
Australia,India,"Kensington Oval, Bridgetown",India,field,Australia,2010-05-07
New Zealand,Pakistan,"Kensington Oval, Bridgetown",Pakistan,field,New Zealand,2010-05-08
England,South Africa,"Kensington Oval, Bridgetown",England,bat,England,2010-05-08
West Indies,India,"Kensington Oval, Bridgetown",India,field,West Indies,2010-05-09
Australia,Sri Lanka,"Kensington Oval, Bridgetown",Australia,bat,Australia,2010-05-09
Pakistan,South Africa,"Beausejour Stadium, Gros Islet",Pakistan,bat,Pakistan,2010-05-10
England,New Zealand,"Beausejour Stadium, Gros Islet",New Zealand,bat,England,2010-05-10
India,Sri Lanka,"Beausejour Stadium, Gros Islet",India,bat,Sri Lanka,2010-05-11
West Indies,Australia,"Beausejour Stadium, Gros Islet",West Indies,bat,Australia,2010-05-11
England,Sri Lanka,"Beausejour Stadium, Gros Islet",Sri Lanka,bat,England,2010-05-13
Australia,India,"Beausejour Stadium, Gros Islet",India,bat,Australia,2010-05-13
Australia,Pakistan,"Beausejour Stadium, Gros Islet",Australia,field,Australia,2010-05-14
West Indies,New Zealand,"Beausejour Stadium, Gros Islet",West Indies,field,New Zealand,2010-05-14
Australia,England,"Kensington Oval, Bridgetown",England,field,England,2010-05-16
Australia,New Zealand,"Kensington Oval, Bridgetown",Australia,bat,Australia,2010-05-16
West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",West Indies,field,South Africa,2010-05-19
West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",West Indies,field,South Africa,2010-05-20
New Zealand,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,New Zealand,bat,New Zealand,2010-05-22
New Zealand,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,New Zealand,bat,Sri Lanka,2010-05-23
Zimbabwe,India,Harare Sports Club,India,field,India,2010-06-12
Zimbabwe,India,Harare Sports Club,India,field,India,2010-06-13
Australia,Pakistan,Edgbaston,Pakistan,bat,Pakistan,2010-07-05
Australia,Pakistan,Edgbaston,Pakistan,bat,Pakistan,2010-07-06
England,Pakistan,Sophia Gardens,England,field,England,2010-09-05
England,Pakistan,Sophia Gardens,Pakistan,bat,England,2010-09-07
South Africa,Zimbabwe,OUTsurance Oval,Zimbabwe,bat,South Africa,2010-10-08
South Africa,Zimbabwe,De Beers Diamond Oval,South Africa,bat,South Africa,2010-10-10
Pakistan,South Africa,Sheikh Zayed Stadium,Pakistan,bat,South Africa,2010-10-26
Pakistan,South Africa,Sheikh Zayed Stadium,Pakistan,bat,South Africa,2010-10-27
Australia,Sri Lanka,Western Australia Cricket Association Ground,Australia,bat,Sri Lanka,2010-10-31
New Zealand,Pakistan,Eden Park,New Zealand,field,New Zealand,2010-12-26
New Zealand,Pakistan,Seddon Park,Pakistan,field,New Zealand,2010-12-28
New Zealand,Pakistan,AMI Stadium,Pakistan,bat,Pakistan,2010-12-30
New Zealand,Australia,Saxton Oval,New Zealand,bat,Australia,2010-12-30
South Africa,India,Moses Mabhida Stadium,India,bat,India,2011-01-09
Australia,England,Adelaide Oval,Australia,bat,England,2011-01-12
Australia,England,Melbourne Cricket Ground,Australia,bat,Australia,2011-01-14
West Indies,Pakistan,"Beausejour Stadium, Gros Islet",West Indies,bat,West Indies,2011-04-21
West Indies,India,"Queen's Park Oval, Port of Spain",West Indies,field,India,2011-06-04
England,Sri Lanka,County Ground,Sri Lanka,field,Sri Lanka,2011-06-25
England,India,County Ground,England,bat,England,2011-06-26
Sri Lanka,Australia,Pallekele International Cricket Stadium,Australia,field,Sri Lanka,2011-08-06
Sri Lanka,Australia,Pallekele International Cricket Stadium,Sri Lanka,bat,Sri Lanka,2011-08-08
England,India,Old Trafford,India,bat,England,2011-08-31
Zimbabwe,Pakistan,Harare Sports Club,Zimbabwe,field,Pakistan,2011-09-16
Zimbabwe,Pakistan,Harare Sports Club,Pakistan,bat,Pakistan,2011-09-18
England,West Indies,Kennington Oval,England,field,England,2011-09-23
England,West Indies,Kennington Oval,England,field,West Indies,2011-09-25
Bangladesh,West Indies,Shere Bangla National Stadium,Bangladesh,field,Bangladesh,2011-10-11
South Africa,Australia,Newlands,South Africa,bat,Australia,2011-10-13
Zimbabwe,New Zealand,Harare Sports Club,New Zealand,field,New Zealand,2011-10-15
South Africa,Australia,New Wanderers Stadium,Australia,bat,South Africa,2011-10-16
Zimbabwe,New Zealand,Harare Sports Club,Zimbabwe,field,New Zealand,2011-10-17
India,England,Eden Gardens,India,bat,England,2011-10-29
Pakistan,Sri Lanka,Sheikh Zayed Stadium,Sri Lanka,bat,Pakistan,2011-11-25
Bangladesh,Pakistan,Shere Bangla National Stadium,Pakistan,bat,Pakistan,2011-11-29
Australia,India,Stadium Australia,India,field,Australia,2012-02-01
Australia,India,Melbourne Cricket Ground,Australia,bat,India,2012-02-03
New Zealand,Zimbabwe,Eden Park,Zimbabwe,bat,New Zealand,2012-02-11
New Zealand,Zimbabwe,Seddon Park,Zimbabwe,bat,New Zealand,2012-02-14
New Zealand,South Africa,Westpac Stadium,New Zealand,field,New Zealand,2012-02-17
New Zealand,England,Westpac Stadium,England,field,England,2012-02-17
New Zealand,South Africa,Seddon Park,South Africa,field,South Africa,2012-02-19
New Zealand,England,Seddon Park,New Zealand,field,England,2012-02-19
New Zealand,England,Eden Park,New Zealand,field,England,2012-02-22
Kenya,Ireland,Mombasa Sports Club Ground,Ireland,field,Ireland,2012-02-22
New Zealand,South Africa,Eden Park,New Zealand,field,South Africa,2012-02-22
Kenya,Ireland,Mombasa Sports Club Ground,Kenya,bat,Ireland,2012-02-23
England,Pakistan,Dubai International Cricket Stadium,England,field,Pakistan,2012-02-23
Kenya,Ireland,Mombasa Sports Club Ground,Ireland,bat,Ireland,2012-02-24
England,Pakistan,Dubai International Cricket Stadium,England,bat,England,2012-02-25
England,Pakistan,Sheikh Zayed Stadium,England,bat,England,2012-02-27
Canada,Netherlands,Dubai International Cricket Stadium,Netherlands,bat,Netherlands,2012-03-13
Ireland,Kenya,Dubai International Cricket Stadium,Kenya,bat,Ireland,2012-03-14
Ireland,Scotland,Dubai International Cricket Stadium,Ireland,bat,Ireland,2012-03-18
