team1,team2,venue,toss_winner,toss_decision,winner,date,team1_matches_played,team1_win_rate,team1_form_5,team2_matches_played,team2_win_rate,team2_form_5,team1_h2h_wins,team2_h2h_wins,team1_venue_matches,team1_venue_win_rate,team2_venue_matches,team2_venue_win_rate,team1_won_toss,team2_won_toss
Sri Lanka,Bangladesh,"Daren Sammy National Cricket Stadium, Gros Islet",Bangladesh,0,Sri Lanka,2018-11-14,146,0.4246575342465753,0,105,0.34285714285714286,2,7,6,1,0.0,1,0.0,0,1
New Zealand,Pakistan,Providence Stadium,Pakistan,0,New Zealand,2018-11-15,149,0.5302013422818792,0,189,0.5661375661375662,3,13,13,4,0.5,3,0.3333333333333333,0,1
India,Ireland,Providence Stadium,Ireland,0,India,2018-11-15,144,0.6111111111111112,5,71,0.4084507042253521,2,3,0,2,1.0,3,0.0,0,1
West Indies,Sri Lanka,"Daren Sammy National Cricket Stadium, Gros Islet",West Indies,1,West Indies,2018-11-16,138,0.4927536231884058,2,147,0.42857142857142855,1,10,8,1,1.0,2,0.5,1,0
South Africa,England,"Daren Sammy National Cricket Stadium, Gros Islet",South Africa,1,England,2018-11-16,151,0.5298013245033113,4,160,0.59375,3,9,13,2,0.5,1,1.0,1,0
India,Australia,Providence Stadium,India,1,India,2018-11-17,145,0.6137931034482759,5,167,0.6047904191616766,4,11,10,3,1.0,3,1.0,1,0
Ireland,New Zealand,Providence Stadium,Ireland,1,New Zealand,2018-11-17,72,0.4027777777777778,1,150,0.5333333333333333,1,0,4,4,0.0,5,0.6,1,0
South Africa,Australia,Carrara Oval,Australia,0,South Africa,2018-11-17,152,0.5263157894736842,3,168,0.6011904761904762,4,6,12,0,0.0,0,0.0,0,1
England,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet",West Indies,0,West Indies,2018-11-18,161,0.5962732919254659,4,139,0.49640287769784175,3,9,13,2,1.0,2,1.0,0,1
South Africa,Bangladesh,"Daren Sammy National Cricket Stadium, Gros Islet",Bangladesh,0,South Africa,2018-11-18,153,0.5294117647058824,3,106,0.33962264150943394,2,10,0,3,0.3333333333333333,2,0.0,0,1
Australia,India,"Brisbane Cricket Ground, Woolloongabba",India,0,Australia,2018-11-21,169,0.5976331360946746,3,146,0.6164383561643836,5,10,12,3,0.6666666666666666,0,0.0,0,1
Australia,West Indies,"Sir Vivian Richards Stadium, North Sound",West Indies,0,Australia,2018-11-22,170,0.6,3,140,0.5,4,9,7,0,0.0,4,0.5,0,1
India,England,"Sir Vivian Richards Stadium, North Sound",India,1,England,2018-11-22,147,0.6122448979591837,4,162,0.5925925925925926,3,8,14,0,0.0,0,0.0,1,0
England,Australia,"Sir Vivian Richards Stadium, North Sound",England,1,Australia,2018-11-24,163,0.5950920245398773,4,171,0.6023391812865497,3,16,19,1,1.0,1,1.0,1,0
Australia,India,Sydney Cricket Ground,Australia,1,India,2018-11-25,172,0.6046511627906976,3,148,0.6081081081081081,3,11,12,6,0.8333333333333334,2,0.5,1,0
Bangladesh,West Indies,Sylhet International Cricket Stadium,Bangladesh,1,West Indies,2018-12-17,107,0.3364485981308411,1,141,0.49645390070921985,3,4,7,1,0.0,0,0.0,1,0
Bangladesh,West Indies,"Shere Bangla National Stadium, Mirpur",West Indies,0,Bangladesh,2018-12-20,108,0.3333333333333333,0,142,0.5,4,4,8,1,0.0,0,0.0,0,1
Bangladesh,West Indies,"Shere Bangla National Stadium, Mirpur",Bangladesh,0,West Indies,2018-12-22,109,0.3394495412844037,1,143,0.4965034965034965,3,5,8,2,0.5,1,0.0,1,0
New Zealand,Sri Lanka,Eden Park,Sri Lanka,0,New Zealand,2019-01-11,151,0.5364238410596026,2,148,0.42567567567567566,1,10,6,15,0.3333333333333333,2,0.0,0,1
Pakistan,West Indies,Southend Club Cricket Stadium,West Indies,1,West Indies,2019-01-31,190,0.5631578947368421,2,144,0.5,3,11,5,2,1.0,0,0.0,0,1
United Arab Emirates,Nepal,ICC Academy,Nepal,0,United Arab Emirates,2019-01-31,25,0.36,1,8,0.125,0,0,0,2,0.5,0,0.0,0,1
South Africa,Pakistan,Newlands,Pakistan,0,South Africa,2019-02-01,154,0.5324675324675324,3,191,0.5602094240837696,1,6,9,11,0.36363636363636365,3,1.0,0,1
South Africa,Sri Lanka,Newlands,Sri Lanka,1,South Africa,2019-02-01,155,0.535483870967742,3,149,0.4228187919463087,1,11,8,12,0.4166666666666667,2,0.5,0,1
United Arab Emirates,Nepal,ICC Academy,United Arab Emirates,1,Nepal,2019-02-01,26,0.38461538461538464,1,9,0.1111111111111111,0,1,0,3,0.6666666666666666,1,0.0,1,0
South Africa,Pakistan,The Wanderers Stadium,Pakistan,0,South Africa,2019-02-03,156,0.5384615384615384,4,192,0.5572916666666666,1,7,9,2,0.5,0,0.0,0,1
United Arab Emirates,Nepal,ICC Academy,United Arab Emirates,0,Nepal,2019-02-03,27,0.37037037037037035,1,10,0.2,1,1,1,4,0.5,2,0.5,1,0
Pakistan,West Indies,Southend Club Cricket Stadium,Pakistan,1,Pakistan,2019-02-03,193,0.5544041450777202,1,145,0.503448275862069,3,11,6,3,0.6666666666666666,1,1.0,1,0
South Africa,Pakistan,SuperSport Park,South Africa,0,Pakistan,2019-02-06,157,0.5414012738853503,5,194,0.5567010309278351,1,8,9,7,0.5714285714285714,1,1.0,1,0
New Zealand,India,Westpac Stadium,India,0,New Zealand,2019-02-06,152,0.5394736842105263,3,149,0.610738255033557,3,7,3,10,0.6,1,0.0,0,1
New Zealand,India,Westpac Stadium,India,0,New Zealand,2019-02-06,153,0.5424836601307189,4,150,0.6066666666666667,2,8,3,11,0.6363636363636364,2,0.0,0,1
South Africa,Sri Lanka,SuperSport Park,Sri Lanka,0,South Africa,2019-02-06,158,0.5379746835443038,4,150,0.42,1,12,8,8,0.5,1,0.0,0,1
New Zealand,India,Eden Park,New Zealand,1,India,2019-02-08,154,0.5454545454545454,5,151,0.6026490066225165,1,9,3,16,0.375,0,0.0,1,0
New Zealand,India,Eden Park,New Zealand,0,New Zealand,2019-02-08,155,0.5419354838709678,4,152,0.6052631578947368,2,9,4,17,0.35294117647058826,1,1.0,1,0
New Zealand,India,Seddon Park,India,0,New Zealand,2019-02-10,156,0.5448717948717948,4,153,0.6013071895424836,2,10,4,10,0.7,0,0.0,0,1
New Zealand,India,Seddon Park,New Zealand,1,New Zealand,2019-02-10,157,0.5477707006369427,4,154,0.5974025974025974,1,11,4,11,0.7272727272727273,1,0.0,1,0
Netherlands,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,0,Netherlands,2019-02-13,40,0.5,0,34,0.47058823529411764,3,3,4,0,0.0,0,0.0,1,0
Oman,Ireland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,0,Ireland,2019-02-13,11,0.45454545454545453,2,73,0.3972602739726027,0,1,0,0,0.0,0,0.0,1,0
Oman,Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,0,Netherlands,2019-02-15,12,0.4166666666666667,1,41,0.5121951219512195,1,0,1,1,0.0,1,1.0,0,1
Ireland,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,0,Scotland,2019-02-15,74,0.40540540540540543,1,35,0.45714285714285713,2,5,1,1,1.0,1,0.0,0,1
Oman,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,0,Scotland,2019-02-17,13,0.38461538461538464,1,36,0.4722222222222222,3,0,1,2,0.0,2,0.5,0,1
Ireland,Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,0,Ireland,2019-02-17,75,0.4,1,42,0.5238095238095238,2,2,5,2,0.5,2,1.0,1,0
Kuwait,Malaysia,Asian Institute of Technology Ground,Kuwait,0,Malaysia,2019-02-18,0,0.0,0,5,0.0,0,0,0,0,0.0,0,0.0,1,0
Hong Kong,United Arab Emirates,Asian Institute of Technology Ground,United Arab Emirates,1,United Arab Emirates,2019-02-18,19,0.42105263157894735,2,28,0.35714285714285715,1,0,1,0,0.0,0,0.0,0,1
Thailand,China,Terdthai Cricket Ground,Thailand,0,Thailand,2019-02-18,9,0.4444444444444444,3,0,0.0,0,0,0,0,0.0,0,0.0,1,0
Kuwait,United Arab Emirates,Asian Institute of Technology Ground,United Arab Emirates,1,United Arab Emirates,2019-02-19,1,0.0,0,29,0.3793103448275862,2,0,0,1,0.0,1,1.0,0,1
China,Hong Kong,Terdthai Cricket Ground,China,0,China,2019-02-19,1,0.0,0,20,0.4,2,0,0,1,0.0,0,0.0,1,0
Malaysia,Nepal,Terdthai Cricket Ground,Nepal,1,Nepal,2019-02-19,6,0.16666666666666666,1,11,0.2727272727272727,2,0,0,0,0.0,0,0.0,0,1
Thailand,Nepal,Asian Institute of Technology Ground,Thailand,1,Thailand,2019-02-21,10,0.5,3,12,0.3333333333333333,3,0,0,0,0.0,0,0.0,1,0
Malaysia,United Arab Emirates,Terdthai Cricket Ground,United Arab Emirates,1,United Arab Emirates,2019-02-21,7,0.14285714285714285,1,30,0.4,3,0,0,1,0.0,0,0.0,0,1
China,Kuwait,Asian Institute of Technology Ground,China,0,China,2019-02-21,2,0.5,1,2,0.0,0,0,0,0,0.0,2,0.0,1,0
Nepal,United Arab Emirates,Terdthai Cricket Ground,United Arab Emirates,1,Nepal,2019-02-22,13,0.3076923076923077,3,31,0.41935483870967744,3,2,1,1,1.0,1,1.0,0,1
China,Malaysia,Terdthai Cricket Ground,Malaysia,1,China,2019-02-22,3,0.6666666666666666,2,8,0.125,1,0,0,2,0.5,2,0.0,0,1
Thailand,Hong Kong,Asian Institute of Technology Ground,Thailand,1,Thailand,2019-02-22,11,0.5454545454545454,4,21,0.38095238095238093,1,0,0,1,1.0,1,0.0,1,0
China,United Arab Emirates,Terdthai Cricket Ground,China,0,United Arab Emirates,2019-02-24,4,0.75,3,32,0.40625,3,0,0,3,0.6666666666666666,2,0.5,1,0
Thailand,Kuwait,Asian Institute of Technology Ground,Kuwait,1,Thailand,2019-02-24,12,0.5833333333333334,5,3,0.0,0,0,0,2,1.0,3,0.0,0,1
Hong Kong,Nepal,Asian Institute of Technology Ground,Hong Kong,1,Nepal,2019-02-24,22,0.36363636363636365,1,14,0.35714285714285715,4,2,1,2,0.0,1,0.0,1,0
India,Australia,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Australia,0,Australia,2019-02-24,155,0.5935483870967742,1,173,0.6011560693641619,3,13,11,1,1.0,0,0.0,0,1
Thailand,Malaysia,Terdthai Cricket Ground,Malaysia,0,Thailand,2019-02-25,13,0.6153846153846154,5,9,0.1111111111111111,1,1,0,1,1.0,3,0.0,0,1
China,Nepal,Terdthai Cricket Ground,China,0,Nepal,2019-02-25,5,0.6,3,15,0.4,4,0,0,4,0.5,2,1.0,1,0
Hong Kong,Kuwait,Asian Institute of Technology Ground,Hong Kong,0,Hong Kong,2019-02-25,23,0.34782608695652173,1,4,0.0,0,0,0,3,0.0,4,0.0,1,0
India,Australia,M.Chinnaswamy Stadium,Australia,0,Australia,2019-02-27,156,0.5897435897435898,1,174,0.603448275862069,4,13,12,0,0.0,0,0.0,0,1
Thailand,United Arab Emirates,Asian Institute of Technology Ground,Thailand,1,Thailand,2019-02-27,14,0.6428571428571429,5,33,0.42424242424242425,4,1,0,3,1.0,2,1.0,1,0
Kuwait,Nepal,Asian Institute of Technology Ground,Kuwait,0,Nepal,2019-02-27,5,0.0,0,16,0.4375,4,0,0,5,0.0,2,0.5,1,0
India,England,Barsapara Cricket Stadium,India,0,England,2019-03-04,157,0.5859872611464968,0,164,0.5914634146341463,3,8,15,1,0.0,0,0.0,1,0
West Indies,England,"Darren Sammy National Cricket Stadium, St Lucia",England,0,England,2019-03-05,146,0.5,3,165,0.593939393939394,3,14,9,0,0.0,0,0.0,0,1
India,England,Barsapara Cricket Stadium,England,0,England,2019-03-07,158,0.5822784810126582,0,166,0.5963855421686747,3,8,16,2,0.0,1,1.0,0,1
West Indies,England,"Warner Park, St Kitts",West Indies,0,England,2019-03-08,147,0.4965986394557823,2,167,0.5988023952095808,4,14,10,0,0.0,0,0.0,1,0
India,England,Barsapara Cricket Stadium,England,1,England,2019-03-09,159,0.5786163522012578,0,168,0.6011904761904762,4,8,17,3,0.0,2,1.0,0,1
West Indies,England,"Warner Park, St Kitts",West Indies,1,England,2019-03-10,148,0.49324324324324326,2,169,0.6035502958579881,5,14,11,1,0.0,1,1.0,1,0
United Arab Emirates,United States of America,ICC Academy,United Arab Emirates,1,United Arab Emirates,2019-03-16,34,0.4117647058823529,3,0,0.0,0,0,0,5,0.4,0,0.0,1,0
Papua New Guinea,Philippines,Amini Park,Philippines,0,Papua New Guinea,2019-03-22,12,0.4166666666666667,2,0,0.0,0,0,0,0,0.0,0,0.0,0,1
South Africa,Sri Lanka,SuperSport Park,Sri Lanka,0,South Africa,2019-03-22,159,0.5408805031446541,4,151,0.41721854304635764,1,13,8,9,0.5555555555555556,2,0.0,0,1
Papua New Guinea,Vanuatu,Amini Park,Vanuatu,1,Papua New Guinea,2019-03-22,13,0.46153846153846156,3,0,0.0,0,0,0,1,1.0,0,0.0,0,1
Philippines,Vanuatu,Amini Park,Vanuatu,1,Vanuatu,2019-03-23,1,0.0,0,1,0.0,0,0,0,1,0.0,1,0.0,0,1
Sri Lanka,England,P Sara Oval,Sri Lanka,1,England,2019-03-24,152,0.4144736842105263,0,170,0.6058823529411764,5,4,6,0,0.0,0,0.0,1,0
Papua New Guinea,Vanuatu,Amini Park,Vanuatu,1,Papua New Guinea,2019-03-24,14,0.5,3,2,0.5,1,1,0,2,1.0,2,0.5,0,1
South Africa,Sri Lanka,The Wanderers Stadium,Sri Lanka,0,South Africa,2019-03-24,160,0.54375,4,153,0.4117647058823529,0,14,8,3,0.6666666666666666,0,0.0,0,1
Philippines,Vanuatu,Amini Park,Vanuatu,0,Philippines,2019-03-24,2,0.0,0,3,0.3333333333333333,1,0,1,2,0.0,3,0.3333333333333333,0,1
Sri Lanka,England,P Sara Oval,Sri Lanka,1,England,2019-03-26,154,0.4090909090909091,0,171,0.6081871345029239,5,4,7,1,0.0,1,1.0,1,0
Sri Lanka,England,P Sara Oval,Sri Lanka,0,England,2019-03-28,155,0.4064516129032258,0,172,0.6104651162790697,5,4,8,2,0.0,2,1.0,1,0
Namibia,Botswana,United Cricket Club Ground,Namibia,0,Namibia,2019-04-01,6,1.0,5,4,0.5,2,1,0,0,0.0,0,0.0,1,0
Namibia,Botswana,United Cricket Club Ground,Botswana,1,Namibia,2019-04-02,7,1.0,5,5,0.4,2,2,0,1,1.0,1,0.0,0,1
Namibia,Botswana,United Cricket Club Ground,Botswana,0,Namibia,2019-04-02,8,1.0,5,6,0.3333333333333333,1,3,0,2,1.0,2,0.0,0,1
Namibia,Botswana,United Cricket Club Ground,Namibia,1,Namibia,2019-04-03,9,1.0,5,7,0.2857142857142857,0,4,0,3,1.0,3,0.0,1,0
Namibia,Botswana,United Cricket Club Ground,Namibia,1,Namibia,2019-04-03,10,1.0,5,8,0.25,0,5,0,4,1.0,4,0.0,1,0
Zimbabwe,Mozambique,Old Hararians,Zimbabwe,1,Zimbabwe,2019-05-05,50,0.24,0,3,0.3333333333333333,1,0,0,0,0.0,0,0.0,1,0
Sierra Leone,Uganda,Old Hararians,Uganda,1,Uganda,2019-05-05,5,0.6,3,4,0.25,1,0,0,0,0.0,0,0.0,0,1
England,Pakistan,Sophia Gardens,Pakistan,1,England,2019-05-05,173,0.6127167630057804,5,195,0.558974358974359,2,17,5,6,1.0,2,0.0,0,1
Vanuatu,Papua New Guinea,"Ground 1, Independence Park",Papua New Guinea,1,Papua New Guinea,2019-05-06,4,0.25,1,15,0.5333333333333333,3,0,2,0,0.0,0,0.0,0,1
Indonesia,Japan,"Ground 2, Independence Park",Japan,1,Indonesia,2019-05-06,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,1
Indonesia,Papua New Guinea,"Ground 1, Independence Park",Indonesia,1,Papua New Guinea,2019-05-06,1,1.0,1,16,0.5625,4,0,0,0,0.0,1,1.0,1,0
Mozambique,Nigeria,Old Hararians,Nigeria,0,Nigeria,2019-05-06,4,0.25,1,0,0.0,0,0,0,1,0.0,0,0.0,0,1
Zimbabwe,Tanzania,Takashinga Sports Club,Zimbabwe,1,Zimbabwe,2019-05-06,51,0.2549019607843137,1,0,0.0,0,0,0,0,0.0,0,0.0,1,0
Namibia,Uganda,Old Hararians,Uganda,0,Namibia,2019-05-06,11,1.0,5,5,0.4,2,0,0,0,0.0,1,1.0,0,1
Fiji,Papua New Guinea,"Ground 2, Independence Park",Fiji,1,Papua New Guinea,2019-05-07,0,0.0,0,17,0.5882352941176471,5,0,0,0,0.0,0,0.0,1,0
Kenya,Uganda,Old Hararians,Uganda,1,Uganda,2019-05-08,17,0.35294117647058826,4,6,0.3333333333333333,2,0,0,0,0.0,2,0.5,0,1
Namibia,Sierra Leone,Takashinga Sports Club,Sierra Leone,1,Namibia,2019-05-08,12,1.0,5,6,0.5,3,2,0,0,0.0,0,0.0,0,1
Mozambique,Rwanda,Old Hararians,Mozambique,1,Rwanda,2019-05-08,5,0.2,1,0,0.0,0,0,0,2,0.0,0,0.0,1,0
Vanuatu,Samoa,"Ground 1, Independence Park",Vanuatu,1,Samoa,2019-05-09,5,0.2,1,0,0.0,0,0,0,1,0.0,0,0.0,1,0
Fiji,Japan,"Ground 2, Independence Park",Japan,1,Japan,2019-05-09,1,0.0,0,1,0.0,0,0,0,1,0.0,1,0.0,0,1
Japan,Papua New Guinea,"Ground 1, Independence Park",Japan,1,Papua New Guinea,2019-05-09,2,0.5,1,18,0.6111111111111112,5,0,0,0,0.0,2,1.0,1,0
Zimbabwe,Rwanda,Old Hararians,Zimbabwe,1,Zimbabwe,2019-05-09,52,0.2692307692307692,2,1,1.0,1,0,0,1,1.0,1,1.0,1,0
Papua New Guinea,Samoa,"Ground 1, Independence Park",Papua New Guinea,0,Papua New Guinea,2019-05-10,19,0.631578947368421,5,1,1.0,1,0,0,3,1.0,1,1.0,1,0
Fiji,Indonesia,"Ground 1, Independence Park",Indonesia,0,Indonesia,2019-05-10,2,0.0,0,2,0.5,1,0,0,0,0.0,1,0.0,0,1
Vanuatu,Japan,"Ground 2, Independence Park",Japan,1,Vanuatu,2019-05-10,6,0.16666666666666666,1,3,0.3333333333333333,1,0,0,0,0.0,2,0.5,0,1
Zimbabwe,Nigeria,Old Hararians,Nigeria,1,Zimbabwe,2019-05-11,53,0.2830188679245283,3,1,1.0,1,0,0,2,1.0,1,1.0,0,1
Rwanda,Tanzania,Takashinga Sports Club,Tanzania,1,Tanzania,2019-05-11,2,0.5,1,1,0.0,0,0,0,0,0.0,1,0.0,0,1
Zimbabwe,Namibia,Harare Sports Club,Namibia,0,Zimbabwe,2019-05-12,54,0.2962962962962963,4,13,1.0,5,0,0,20,0.1,0,0.0,0,1
South Africa,Pakistan,LC de Villiers Oval,Pakistan,0,Pakistan,2019-05-15,161,0.546583850931677,4,196,0.5561224489795918,2,8,10,0,0.0,0,0.0,0,1
South Africa,Pakistan,City Oval,Pakistan,1,South Africa,2019-05-18,162,0.5432098765432098,3,197,0.5583756345177665,3,8,11,0,0.0,0,0.0,0,1
United States of America,Canada,Central Broward Regional Park Stadium Turf Ground,Canada,0,United States of America,2019-05-18,1,0.0,0,9,0.1111111111111111,1,0,0,0,0.0,0,0.0,0,1
United States of America,Canada,Central Broward Regional Park Stadium Turf Ground,United States of America,1,United States of America,2019-05-19,2,0.5,1,10,0.1,1,1,0,1,1.0,1,0.0,1,0
South Africa,Pakistan,City Oval,Pakistan,0,Pakistan,2019-05-19,163,0.5460122699386503,4,198,0.5555555555555556,3,9,11,1,1.0,1,0.0,0,1
Uganda,Botswana,Lugogo Cricket Oval,Botswana,0,Uganda,2019-05-20,7,0.42857142857142855,3,9,0.2222222222222222,0,0,0,0,0.0,0,0.0,0,1
Ghana,Namibia,Kyambogo Cricket Oval,Namibia,0,Namibia,2019-05-20,0,0.0,0,14,0.9285714285714286,4,0,0,0,0.0,0,0.0,0,1
Uganda,Namibia,Kyambogo Cricket Oval,Namibia,1,Namibia,2019-05-21,8,0.5,3,15,0.9333333333333333,4,0,1,0,0.0,1,1.0,0,1
Ghana,Kenya,Kyambogo Cricket Oval,Ghana,0,Kenya,2019-05-21,1,0.0,0,18,0.3333333333333333,3,0,0,1,0.0,0,0.0,1,0
Botswana,Nigeria,Lugogo Cricket Oval,Nigeria,1,Nigeria,2019-05-21,10,0.2,0,2,0.5,1,0,0,1,0.0,0,0.0,0,1
South Africa,Pakistan,Willowmoore Park,South Africa,0,South Africa,2019-05-22,164,0.5426829268292683,3,199,0.5577889447236181,3,9,12,0,0.0,0,0.0,1,0
Botswana,Namibia,Kyambogo Cricket Oval,Botswana,1,Namibia,2019-05-22,11,0.18181818181818182,0,16,0.9375,4,0,6,0,0.0,2,1.0,1,0
Uganda,Kenya,Lugogo Cricket Oval,Kenya,1,Kenya,2019-05-22,9,0.4444444444444444,3,19,0.3684210526315789,3,1,0,1,1.0,0,0.0,0,1
Ghana,Nigeria,Kyambogo Cricket Oval,Ghana,0,Nigeria,2019-05-22,2,0.0,0,3,0.6666666666666666,2,0,0,2,0.0,0,0.0,1,0
South Africa,Pakistan,Willowmoore Park,South Africa,0,South Africa,2019-05-23,165,0.5454545454545454,3,200,0.555,2,10,12,1,1.0,1,0.0,1,0
Uganda,Ghana,Kyambogo Cricket Oval,Ghana,1,Uganda,2019-05-23,10,0.4,2,3,0.0,0,0,0,1,0.0,3,0.0,0,1
Germany,Italy,Sportpark Maarschalkerweerd,Italy,0,Italy,2019-05-25,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,1
Ireland,West Indies,YMCA Cricket Club,West Indies,1,West Indies,2019-05-26,76,0.40789473684210525,2,149,0.4899328859060403,1,1,2,7,0.0,0,0.0,0,1
Ireland,West Indies,Sydney Parade,West Indies,1,West Indies,2019-05-28,77,0.4025974025974026,2,150,0.49333333333333335,1,1,3,0,0.0,0,0.0,0,1
Ireland,West Indies,Sydney Parade,Ireland,0,West Indies,2019-05-29,78,0.3974358974358974,2,151,0.4966887417218543,2,1,4,1,0.0,1,1.0,1,0
Guernsey,Germany,King George V Sports Ground,Germany,0,Germany,2019-06-15,0,0.0,0,1,0.0,0,0,0,0,0.0,0,0.0,0,1
Denmark,Jersey,King George V Sports Ground,Denmark,0,Jersey,2019-06-16,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,1,0
Guernsey,Italy,College Field,Guernsey,0,Italy,2019-06-16,1,0.0,0,1,1.0,1,0,0,0,0.0,0,0.0,1,0
Jersey,Norway,King George V Sports Ground,Jersey,1,Jersey,2019-06-16,1,1.0,1,0,0.0,0,0,0,1,1.0,0,0.0,1,0
Denmark,Norway,King George V Sports Ground,Denmark,1,Denmark,2019-06-17,1,0.0,0,1,0.0,0,0,0,1,0.0,1,0.0,1,0
Rwanda,Mali,Gahanga International Cricket Stadium. Rwanda,Mali,1,Rwanda,2019-06-18,3,0.3333333333333333,1,0,0.0,0,0,0,0,0.0,0,0.0,0,1
Tanzania,Uganda,Gahanga International Cricket Stadium. Rwanda,Tanzania,1,Tanzania,2019-06-18,2,0.5,1,11,0.45454545454545453,3,0,0,0,0.0,0,0.0,1,0
Denmark,Germany,King George V Sports Ground,Germany,0,Germany,2019-06-19,2,0.5,1,2,0.5,1,0,0,2,0.5,1,1.0,0,1
Rwanda,Uganda,Gahanga International Cricket Stadium. Rwanda,Uganda,1,Uganda,2019-06-19,4,0.5,2,12,0.4166666666666667,2,0,0,1,1.0,1,0.0,0,1
Guernsey,Norway,King George V Sports Ground,Guernsey,0,Guernsey,2019-06-19,2,0.0,0,2,0.0,0,0,0,1,0.0,2,0.0,1,0
Italy,Jersey,College Field,Italy,0,Jersey,2019-06-19,2,1.0,2,2,1.0,2,0,0,1,1.0,0,0.0,1,0
Guernsey,Denmark,King George V Sports Ground,Denmark,0,Guernsey,2019-06-20,3,0.3333333333333333,1,3,0.3333333333333333,1,0,0,2,0.5,3,0.3333333333333333,0,1
Germany,Norway,College Field,Germany,0,Germany,2019-06-20,3,0.6666666666666666,2,3,0.0,0,0,0,0,0.0,0,0.0,1,0
Germany,Jersey,College Field,Germany,0,Germany,2019-06-20,4,0.75,3,3,1.0,3,0,0,1,1.0,1,1.0,1,0
Denmark,Italy,King George V Sports Ground,Denmark,1,Denmark,2019-06-20,4,0.25,1,3,0.6666666666666666,2,0,0,4,0.25,0,0.0,1,0
England,West Indies,County Ground,England,1,England,2019-06-21,174,0.6149425287356322,5,152,0.5,3,12,14,18,0.6666666666666666,2,0.0,1,0
Netherlands,Zimbabwe,Hazelaarweg,Zimbabwe,0,Netherlands,2019-06-23,43,0.5116279069767442,2,55,0.3090909090909091,5,0,1,3,1.0,0,0.0,0,1
Malaysia,Thailand,Kinrara Academy Oval,Malaysia,0,Malaysia,2019-06-24,10,0.1,1,15,0.6666666666666666,5,0,2,2,0.0,2,0.0,1,0
Maldives,Thailand,Kinrara Academy Oval,Thailand,1,Maldives,2019-06-26,0,0.0,0,16,0.625,4,0,0,0,0.0,3,0.0,0,1
Netherlands,Scotland,La Manga Club Top Ground,Scotland,0,Netherlands,2019-06-26,44,0.5227272727272727,3,37,0.4864864864864865,3,4,4,0,0.0,0,0.0,0,1
Malaysia,Thailand,Kinrara Academy Oval,Thailand,1,Malaysia,2019-06-27,11,0.18181818181818182,1,17,0.5882352941176471,3,1,2,3,0.3333333333333333,4,0.0,0,1
Germany,Netherlands,La Manga Club Top Ground,Germany,0,Netherlands,2019-06-27,5,0.8,4,45,0.5333333333333333,4,0,0,0,0.0,1,1.0,1,0
Maldives,Thailand,Kinrara Academy Oval,Thailand,0,Thailand,2019-06-29,1,1.0,1,18,0.5555555555555556,2,1,0,1,1.0,5,0.0,0,1
Germany,Scotland,La Manga Club Top Ground,Germany,0,Scotland,2019-06-29,6,0.6666666666666666,4,38,0.47368421052631576,3,0,0,1,0.0,1,0.0,1,0
Ireland,Zimbabwe,"Bready Cricket Club, Magheramason",Ireland,0,Ireland,2019-07-12,79,0.3924050632911392,1,56,0.30357142857142855,4,1,0,3,0.3333333333333333,0,0.0,1,0
Malaysia,Nepal,Kinrara Academy Oval,Malaysia,1,Nepal,2019-07-13,12,0.25,2,17,0.47058823529411764,4,0,1,4,0.5,0,0.0,1,0
Malaysia,Nepal,Kinrara Academy Oval,Nepal,1,Nepal,2019-07-14,13,0.23076923076923078,2,18,0.5,5,0,2,5,0.4,1,1.0,0,1
Ireland,Zimbabwe,Bready,Zimbabwe,0,Zimbabwe,2019-07-14,80,0.4,2,57,0.2982456140350877,3,2,0,0,0.0,0,0.0,0,1
Kuwait,Malaysia,Indian Association Ground,Malaysia,1,Malaysia,2019-07-22,6,0.0,0,14,0.21428571428571427,2,0,1,0,0.0,0,0.0,0,1
Singapore,Qatar,Indian Association Ground,Singapore,1,Singapore,2019-07-22,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,1,0
Nepal,Qatar,Indian Association Ground,Nepal,1,Qatar,2019-07-23,19,0.5263157894736842,5,1,0.0,0,0,0,0,0.0,1,0.0,1,0
Malaysia,Nepal,Indian Association Ground,Nepal,0,Nepal,2019-07-24,15,0.26666666666666666,3,20,0.5,4,0,3,1,1.0,1,0.0,0,1
Singapore,Malaysia,Indian Association Ground,Malaysia,1,Singapore,2019-07-26,1,1.0,1,16,0.25,2,0,0,1,1.0,2,0.5,0,1
England,Australia,County Ground,England,0,Australia,2019-07-26,175,0.6171428571428571,5,175,0.6057142857142858,4,16,20,19,0.6842105263157895,4,0.5,1,0
