team1,team2,venue,toss_winner,toss_decision,winner,date,team1_matches_played,team1_win_rate,team1_form_5,team2_matches_played,team2_win_rate,team2_form_5,team1_h2h_wins,team2_h2h_wins,team1_venue_matches,team1_venue_win_rate,team2_venue_matches,team2_venue_win_rate,team1_won_toss,team2_won_toss
Australia,India,Kingsmead,India,1,India,2007-09-22,10,0.6,3,4,0.75,3,0,0,0,0.0,2,1.0,0,1
India,Pakistan,New Wanderers Stadium,India,1,India,2007-09-24,5,0.8,4,8,1.0,5,0,0,2,0.5,2,1.0,1,0
India,Australia,Brabourne Stadium,Australia,1,India,2007-10-20,6,0.8333333333333334,4,11,0.5454545454545454,3,1,0,0,0.0,0,0.0,0,1
South Africa,New Zealand,New Wanderers Stadium,South Africa,0,South Africa,2007-11-23,9,0.5555555555555556,4,10,0.5,2,1,1,4,0.5,3,0.6666666666666666,1,0
Australia,New Zealand,Western Australia Cricket Association Ground,Australia,1,Australia,2007-12-11,12,0.5,2,11,0.45454545454545453,2,1,0,0,0.0,0,0.0,1,0
South Africa,West Indies,St George's Park,West Indies,0,West Indies,2007-12-16,10,0.6,4,4,0.25,1,1,0,0,0.0,0,0.0,0,1
South Africa,West Indies,New Wanderers Stadium,South Africa,0,South Africa,2008-01-18,11,0.5454545454545454,3,5,0.4,2,1,1,5,0.6,2,0.0,1,0
Australia,India,Melbourne Cricket Ground,India,1,Australia,2008-02-01,13,0.5384615384615384,2,7,0.8571428571428571,5,0,2,0,0.0,0,0.0,0,1
New Zealand,England,Eden Park,New Zealand,0,England,2008-02-05,12,0.4166666666666667,1,11,0.2727272727272727,1,1,0,2,0.5,0,0.0,1,0
New Zealand,England,Jade Stadium,England,1,England,2008-02-07,13,0.38461538461538464,0,12,0.3333333333333333,1,1,1,0,0.0,0,0.0,0,1
Pakistan,Bangladesh,National Stadium,Pakistan,1,Pakistan,2008-04-20,9,0.8888888888888888,4,7,0.2857142857142857,1,2,0,0,0.0,0,0.0,1,0
England,New Zealand,Old Trafford,England,0,England,2008-06-13,13,0.38461538461538464,2,14,0.35714285714285715,0,2,1,0,0.0,0,0.0,1,0
West Indies,Australia,"Kensington Oval, Bridgetown",West Indies,0,West Indies,2008-06-20,6,0.3333333333333333,1,14,0.5714285714285714,3,0,0,0,0.0,0,0.0,1,0
Bermuda,Scotland,"Civil Service Cricket Club, Stormont",Scotland,0,Scotland,2008-08-03,0,0.0,0,1,0.0,0,0,0,0,0.0,0,0.0,0,1
Netherlands,Scotland,"Civil Service Cricket Club, Stormont",Netherlands,0,Netherlands,2008-08-04,0,0.0,0,2,0.5,1,0,0,0,0.0,1,1.0,1,0
Ireland,Kenya,"Civil Service Cricket Club, Stormont",Ireland,0,Ireland,2008-08-04,0,0.0,0,4,0.0,0,0,0,0,0.0,0,0.0,1,0
Pakistan,Sri Lanka,Maple Leaf North-West Ground,Pakistan,0,Pakistan,2008-10-11,10,0.9,4,8,0.625,3,1,0,0,0.0,0,0.0,1,0
Pakistan,Sri Lanka,Maple Leaf North-West Ground,Sri Lanka,0,Sri Lanka,2008-10-13,11,0.9090909090909091,4,9,0.5555555555555556,2,2,0,1,1.0,1,0.0,0,1
South Africa,Bangladesh,New Wanderers Stadium,Bangladesh,0,South Africa,2008-11-05,12,0.5833333333333334,3,8,0.25,0,1,0,6,0.6666666666666666,2,0.5,0,1
New Zealand,West Indies,Seddon Park,New Zealand,1,New Zealand,2008-12-28,15,0.3333333333333333,0,7,0.42857142857142855,2,0,0,0,0.0,0,0.0,1,0
Australia,South Africa,Melbourne Cricket Ground,Australia,1,Australia,2009-01-11,15,0.5333333333333333,2,13,0.6153846153846154,3,1,1,1,1.0,0,0.0,1,0
Australia,South Africa,"Brisbane Cricket Ground, Woolloongabba",South Africa,1,Australia,2009-01-13,16,0.5625,3,14,0.5714285714285714,3,2,1,1,1.0,1,0.0,0,1
Sri Lanka,India,R Premadasa Stadium,Sri Lanka,1,India,2009-02-10,10,0.6,2,8,0.75,4,0,0,0,0.0,0,0.0,1,0
Australia,New Zealand,Sydney Cricket Ground,Australia,1,Australia,2009-02-15,17,0.5882352941176471,4,16,0.375,1,2,0,1,1.0,0,0.0,1,0
New Zealand,India,AMI Stadium,New Zealand,0,New Zealand,2009-02-25,17,0.35294117647058826,1,9,0.7777777777777778,4,1,0,0,0.0,0,0.0,1,0
New Zealand,India,Westpac Stadium,New Zealand,0,New Zealand,2009-02-27,18,0.3888888888888889,2,10,0.7,3,2,0,1,0.0,0,0.0,1,0
West Indies,England,"Queen's Park Oval, Port of Spain",West Indies,0,West Indies,2009-03-15,8,0.375,2,14,0.42857142857142855,3,1,1,0,0.0,0,0.0,1,0
South Africa,Australia,New Wanderers Stadium,South Africa,0,South Africa,2009-03-27,15,0.5333333333333333,2,18,0.6111111111111112,4,1,3,7,0.7142857142857143,2,0.0,1,0
South Africa,Australia,SuperSport Park,Australia,0,South Africa,2009-03-29,16,0.5625,3,19,0.5789473684210527,3,2,3,0,0.0,0,0.0,0,1
Australia,Pakistan,Dubai International Cricket Stadium,Pakistan,0,Pakistan,2009-05-07,20,0.55,3,12,0.8333333333333334,3,0,1,0,0.0,0,0.0,0,1
England,Netherlands,Lord's,Netherlands,0,Netherlands,2009-06-05,15,0.4,3,1,1.0,1,0,0,0,0.0,0,0.0,0,1
New Zealand,Scotland,Kennington Oval,New Zealand,0,New Zealand,2009-06-06,19,0.42105263157894735,3,3,0.3333333333333333,1,0,0,0,0.0,0,0.0,1,0
Australia,West Indies,Kennington Oval,Australia,1,West Indies,2009-06-06,21,0.5238095238095238,2,9,0.4444444444444444,3,0,1,0,0.0,2,0.5,1,0
Bangladesh,India,Trent Bridge,India,1,India,2009-06-06,9,0.2222222222222222,0,11,0.6363636363636364,2,0,0,0,0.0,0,0.0,0,1
Scotland,South Africa,Kennington Oval,Scotland,0,South Africa,2009-06-07,4,0.25,1,17,0.5882352941176471,3,0,0,1,0.0,0,0.0,1,0
England,Pakistan,Kennington Oval,Pakistan,0,England,2009-06-07,16,0.375,3,13,0.8461538461538461,3,0,1,2,0.5,0,0.0,0,1
Australia,Sri Lanka,Trent Bridge,Sri Lanka,0,Sri Lanka,2009-06-08,22,0.5,1,11,0.5454545454545454,2,1,0,0,0.0,0,0.0,0,1
Bangladesh,Ireland,Trent Bridge,Ireland,0,Ireland,2009-06-08,10,0.2,0,1,1.0,1,0,0,1,0.0,0,0.0,0,1
Netherlands,Pakistan,Lord's,Pakistan,1,Pakistan,2009-06-09,2,1.0,2,14,0.7857142857142857,3,0,0,1,1.0,0,0.0,0,1
New Zealand,South Africa,Lord's,New Zealand,0,South Africa,2009-06-09,20,0.45,4,18,0.6111111111111112,3,1,2,0,0.0,0,0.0,1,0
India,Ireland,Trent Bridge,India,0,India,2009-06-10,12,0.6666666666666666,2,2,1.0,2,0,0,1,1.0,1,1.0,1,0
Sri Lanka,West Indies,Trent Bridge,West Indies,0,Sri Lanka,2009-06-10,12,0.5833333333333334,2,10,0.5,3,0,0,1,1.0,0,0.0,0,1
Ireland,New Zealand,Trent Bridge,Ireland,0,New Zealand,2009-06-11,3,0.6666666666666666,2,21,0.42857142857142855,3,0,0,2,0.5,0,0.0,1,0
England,South Africa,Trent Bridge,England,1,South Africa,2009-06-11,17,0.4117647058823529,3,19,0.631578947368421,4,0,1,0,0.0,0,0.0,1,0
Pakistan,Sri Lanka,Lord's,Sri Lanka,1,Sri Lanka,2009-06-12,15,0.8,3,13,0.6153846153846154,3,2,1,1,1.0,0,0.0,0,1
India,West Indies,Lord's,India,1,West Indies,2009-06-12,13,0.6923076923076923,3,11,0.45454545454545453,3,0,0,0,0.0,0,0.0,1,0
New Zealand,Pakistan,Kennington Oval,New Zealand,1,Pakistan,2009-06-13,22,0.45454545454545453,4,16,0.75,2,0,1,1,1.0,1,0.0,1,0
